epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0781,1.76966,2.03292,1.53252,0.48069,0.48247,0.43049,0.13078,2.1068,2.09323,1.74984,0.000664917,0.000664917,0.000664917
2,70.0944,1.68013,1.57968,1.46592,0.6954,0.63782,0.69914,0.26611,2.04178,2.26422,1.73629,0.00130522,0.00130522,0.00130522
3,102.397,1.6673,1.47524,1.46097,0.6089,0.57301,0.58515,0.21362,2.02463,2.17021,1.68152,0.00191912,0.00191912,0.00191912
4,135.153,1.63113,1.38561,1.43922,0.72127,0.68561,0.72744,0.31759,1.99161,1.6404,1.67559,0.0018812,0.0018812,0.0018812
5,167.338,1.59992,1.32154,1.42548,0.70035,0.65464,0.6908,0.30553,1.9836,1.57851,1.72276,0.0018416,0.0018416,0.0018416
6,198.852,1.55484,1.24575,1.39293,0.74483,0.66203,0.73768,0.30592,1.96257,1.43918,1.61678,0.001802,0.001802,0.001802
7,230.92,1.532,1.22186,1.39553,0.66225,0.68525,0.71535,0.32004,1.89442,1.48813,1.60109,0.0017624,0.0017624,0.0017624
8,263.877,1.50581,1.19673,1.38315,0.772,0.67423,0.76103,0.36438,1.85806,1.45931,1.57666,0.0017228,0.0017228,0.0017228
9,296.784,1.49214,1.15625,1.3578,0.73923,0.71443,0.77512,0.36286,1.89759,1.33766,1.59812,0.0016832,0.0016832,0.0016832
10,330.214,1.46402,1.11212,1.34431,0.82221,0.74373,0.81362,0.39036,1.88201,1.25865,1.61896,0.0016436,0.0016436,0.0016436
11,363.535,1.44705,1.09284,1.32955,0.75972,0.77526,0.82303,0.42293,1.68643,1.30504,1.45335,0.001604,0.001604,0.001604
12,396.119,1.45049,1.07843,1.32645,0.77545,0.69069,0.76491,0.33724,2.00213,1.39265,1.63951,0.0015644,0.0015644,0.0015644
13,427.973,1.41455,1.04465,1.31422,0.81466,0.74742,0.8324,0.40035,1.88195,1.24454,1.63057,0.0015248,0.0015248,0.0015248
14,460.024,1.41209,1.0367,1.30256,0.81897,0.73688,0.82782,0.42897,1.73024,1.19345,1.48193,0.0014852,0.0014852,0.0014852
15,491.722,1.41057,1.01566,1.29932,0.80013,0.74845,0.81692,0.44531,1.72471,1.29069,1.59836,0.0014456,0.0014456,0.0014456
16,524.606,1.38684,0.98858,1.2917,0.79118,0.7148,0.81144,0.41528,1.8027,1.17589,1.52029,0.001406,0.001406,0.001406
17,557.63,1.37289,0.98439,1.28382,0.80506,0.78764,0.8432,0.45658,1.59539,1.20692,1.38617,0.0013664,0.0013664,0.0013664
18,590.473,1.36011,0.96507,1.28141,0.80689,0.79588,0.84448,0.46921,1.5836,1.15722,1.4053,0.0013268,0.0013268,0.0013268
19,622.527,1.34223,0.93385,1.26413,0.85164,0.72887,0.8365,0.46299,1.63673,1.34342,1.44929,0.0012872,0.0012872,0.0012872
20,654.558,1.32815,0.92599,1.25909,0.84711,0.75258,0.85203,0.45967,1.74348,1.20396,1.57181,0.0012476,0.0012476,0.0012476
21,686.398,1.33045,0.91234,1.25282,0.79798,0.77113,0.84465,0.44711,1.77779,1.2483,1.64616,0.001208,0.001208,0.001208
22,718.26,1.30602,0.89472,1.25051,0.83947,0.75361,0.84256,0.47347,1.62393,1.18315,1.45125,0.0011684,0.0011684,0.0011684
23,756.763,1.29144,0.87571,1.23328,0.82065,0.77833,0.84815,0.45467,1.69959,1.23595,1.47536,0.0011288,0.0011288,0.0011288
24,799.371,1.29927,0.86953,1.23595,0.8203,0.77648,0.84754,0.45738,1.73119,1.31724,1.48863,0.0010892,0.0010892,0.0010892
25,832.148,1.28692,0.86359,1.23332,0.83155,0.78557,0.84989,0.46006,1.67579,1.19235,1.45458,0.0010496,0.0010496,0.0010496
26,865.214,1.26394,0.85469,1.21655,0.85599,0.77938,0.86463,0.49601,1.51008,1.07149,1.33848,0.00101,0.00101,0.00101
27,897.873,1.24651,0.84317,1.21034,0.85281,0.78866,0.86574,0.48776,1.59454,1.00228,1.38593,0.0009704,0.0009704,0.0009704
28,930.084,1.25119,0.83254,1.21551,0.83259,0.77418,0.85468,0.46982,1.68922,1.12361,1.52064,0.0009308,0.0009308,0.0009308
